Generation,evals,avg,std,min,max,best_one,fitness_best_one
31,672,[   8.         1579.81001812],[ 0.         12.39566235],[   8.         1546.38669298],[   8.         1590.62706691],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1546.3866929773494)"
32,684,[   8.         1568.86363757],[ 0.         10.07043932],[   8.         1545.84746333],[   8.         1586.84536174],"[14, 25, 23, 5, 6, 9, 20, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1545.8474633318397)"
33,670,[   8.         1560.62156114],[0.         6.31485984],[   8.         1545.84746333],[   8.         1570.61415181],"[14, 25, 23, 5, 6, 9, 20, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1545.8474633318397)"
34,684,[   8.         1555.13157693],[0.         3.24763637],[   8.         1544.49118505],[   8.         1562.06226071],"[14, 23, 25, 5, 6, 9, 10, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 20, 15, 18, 17, 16, 12]","(8.0, 1544.49118505035)"
35,710,[   8.         1553.31509192],[0.         3.36526883],[   8.         1544.49118505],[   8.         1555.38458151],"[14, 23, 25, 5, 6, 9, 10, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 20, 15, 18, 17, 16, 12]","(8.0, 1544.49118505035)"
36,698,[   8.         1551.17100423],[0.         3.80879021],[   8.        1539.9038675],[   8.         1555.38458151],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 11, 8, 7, 4, 21, 22, 10, 1, 13, 15, 18, 17, 16, 12]","(8.0, 1539.9038675005854)"
37,674,[   8.         1547.44329989],[0.         1.69522376],[   8.        1539.9038675],[   8.        1553.1249902],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 11, 8, 7, 4, 21, 22, 10, 1, 13, 15, 18, 17, 16, 12]","(8.0, 1539.9038675005854)"
38,658,[   8.        1546.1751192],[0.         0.89739281],[   8.         1539.82557419],[   8.        1547.7701253],"[14, 23, 25, 5, 6, 9, 21, 4, 2, 24, 19, 17, 8, 7, 3, 20, 22, 11, 1, 10, 15, 18, 13, 16, 12]","(8.0, 1539.8255741864773)"
39,688,[   8.        1545.7945887],[0.         1.26961346],[   8.         1539.41460982],[   8.         1546.38669298],"[14, 23, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1539.414609823621)"
40,678,[   8.         1545.06254491],[0.         1.74551708],[   8.         1539.41460982],[   8.         1546.38669298],"[14, 23, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1539.414609823621)"
